cote Medica;nom-dico_simple;nom-dico_complet;nb_volume;annee;an_max;langue_vedette;langue_articles;sep;tag1;tag2;tag3;tag4
152;de Gorris index;de Gorris index (1601);1;1601;;grc;la;;sciences médicales;;;
8746;de Gorris;de Gorris (1622);1;1622;;grc;la;;sciences médicales;;;
8757;Thévenin;Thévenin (1658);1;1658;;grc;fr;;sciences médicales;;;
7399;Castelli Bruno;Castelli Bruno (1746);1;1746;;la;la;;sciences médicales;;;
1208;Chomel;Chomel (1709);1;1709;;fr;fr;/;historique;;;
pharma_000103;Chomel 4e éd.;Chomel 4e éd. (1741);4;1741;;fr;fr;/;historique;;;
1686;James;James (1743-1745);3;1743;1745;la;en;/;sciences médicales;autres sciences;;
216;James Diderot & al.;James Diderot & al. (1746-1748);6;1746;1748;la;fr;.;sciences médicales;autres sciences;;
pharma_019428;Gissey;Gissey (1750);3;1750;;fr;fr;/;historique;;;
31873;Dufieu;Dufieu (1766);2;1766;;fr;fr;/;sciences médicales;;;
30944;Levacher de La Feutrie & al.;Levacher de La Feutrie & al. (1767);2;1767;;fr;fr;.;sciences médicales;;;
pharma_019127;Buc'hoz plantes;Buc'hoz plantes (1770-1771);4;1770;1771;fr;fr;/;autres sciences;;;
32546;Hélian;Hélian (1771);1;1771;;fr;fr;/;sciences médicales;;;
pharma_013686;Buc'hoz minér. hydrol.;Buc'hoz minéralogie & hydrologie (1772-1776);4;1772;1776;fr;fr;/;autres sciences;;;
extalfobuchoz;Buc'hoz vétérinaire;Buc'hoz vétérinaire (1775);6;1775;;fr;fr;/;médecine vétérinaire;;;
146144;Eloy;Eloy (1778);4;1778;;fr;fr;/;sciences médicales;autres sciences;;
07410xM;Enc. méthod. médecine;Encyclopédie méthodique de médecine (1787-1830);14;1787;1830;fr;fr;.;sciences médicales;;;
07410xC;Enc. méthod. chirurgie;Encyclopédie méthodique de chirurgie (1790-1799);3;1790;1799;fr;fr;.;sciences médicales;;;
45392;Lavoisien;Lavoisien (1793);1;1793;;fr;fr;/;sciences médicales;autres sciences;;
pharma_019129;Tournefort Jolyclerc;Tournefort Jolyclerc (1797);6;1797;;fr;fr;/;autres sciences;;;
pharma_019128;Plantes alimentaires;Plantes alimentaires (1803);2;1803;;fr;fr;/;autres sciences;;;
extbnfrivet;Rivet;Rivet (1803-1805);2;1803;1805;fr;fr;/;pharmacologie;;;
37019;Capuron;Capuron (1806);1;1806;;fr;fr;;sciences médicales;autres sciences;;
47661;Panckoucke;Panckoucke (1812-1822);60;1812;1822;fr;fr;/;sciences médicales;;;
extbnfnysten;Nysten Bricheteau 5e éd.;Nysten Bricheteau 5e éd. (1833);1;1833;;fr;fr;/;sciences médicales;autres sciences;médecine vétérinaire;pharmacologie
47667;Panckoucke biographie;Panckoucke biographie (1820-1825);7;1820;1825;fr;fr;-;biographique;;;
35573;Panckoucke abrégé;Panckoucke abrégé (1821-1826);15;1821;1826;fr;fr;/;sciences médicales;;;
extbnfadelon;Adelon & al.;Adelon & al. (1821-1828);21;1821;1828;fr;fr;/;sciences médicales;;;
61157;Bégin & al.;Bégin & al. (1823);1;1823;;fr;fr;.;sciences médicales;autres sciences;médecine vétérinaire;pharmacologie
extbnfdezeimeris;Dezeimeris & al.;Dezeimeris & al. (1828-1839);4;1828;1839;fr;fr;/;historique;sciences médicales;;
57503;Coster;Coster (1829);1;1829;;fr;fr;/;sciences médicales;;;
34826;Andral & al.;Andral & al. (1829-1836);15;1829;1836;fr;fr;.;sciences médicales;;;
pharma_014023;Mérat & de Lens;Mérat & de Lens (1829-1846);7;1829;1846;fr;fr;/;sciences médicales;pharmacologie;;
34820;Adelon & al. 2e éd.;Adelon & al. 2e éd. (1832-1846);30;1832;1846;fr;fr;.;sciences médicales;;;
extalfodarboval;Hurtrel d'Arboval 2e éd.;Hurtrel d'Arboval 2e éd. (1838-1839);6;1838;1839;fr;fr;/;sciences médicales;médecine vétérinaire;;
extbnfbeaude;Beaude;Beaude (1849);2;1849;;fr;fr;/;sciences médicales;;;
37029;Fabre;Fabre (1850);9;1850;;fr;fr;.;sciences médicales;;;
37020b;Nysten Littré Robin 10e éd.;Nysten Littré Robin 10e éd. (1855);1;1855;;fr;fr;.;sciences médicales;autres sciences;médecine vétérinaire;pharmacologie
37020c;Nysten Littré Robin 12e éd.;Nysten Littré Robin 12e éd. (1865);1;1865;;fr;fr;/;sciences médicales;autres sciences;médecine vétérinaire;pharmacologie
37020d;Littré Robin 13e éd.;Littré Robin 13e éd. (1873);1;1873;;fr;fr;.;sciences médicales;autres sciences;médecine vétérinaire;pharmacologie
34823;Bouley & Reynal;Bouley & Reynal (1856-1894);22;1856;1894;fr;fr;/;sciences médicales;médecine vétérinaire;;
extbnfpoujol;Poujol;Poujol (1857);1;1857;;fr;fr;/;sciences médicales;;;
pharma_014236;Roussel;Roussel (1859);5;1859;;fr;fr;/;historique;;;
32923;Jaccoud;Jaccoud (1864-1886);40;1864;1886;fr;fr;.;sciences médicales;;;
extbnfdechambre;Dechambre & al.;Dechambre & al. (1864-1889);100;1864;1889;fr;fr;/;sciences médicales;;;
27518;Bouchut & Després;Bouchut & Després (1867);1;1867;;fr;fr;.;sciences médicales;;;
pharma_006061;Dujardin-Beaumetz;Dujardin-Beaumetz (1883-1895);5;1883;1895;fr;fr;/;sciences médicales;pharmacologie;;
20311;Dechambre & al. Dict. usuel;Dechambre & al. Dict. usuel (1885);1;1885;;fr;fr;/;sciences médicales;;;
21575;Labarthe;Labarthe (1887);2;1887;;fr;fr;/;sciences médicales;pharmacologie;;
56140;Guilland;Guilland (1888);1;1888;;fr;fr;/;biographique;;;
24374;Fage;Fage (1895);1;1895;;fr;fr;";";biographique;;;
21244;Carnoy;Carnoy (1895);1;1895;;fr;fr;/;biographique;;;
27898;Littré Gilbert 21e éd.;Littré Gilbert 21e éd. (1908);1;1908;;fr;fr;/;sciences médicales;autres sciences;médecine vétérinaire;pharmacologie
